TIME_PERIOD,CPI.1.1.40027.10.Q,CPI.1.2.40027.10.Q,CPI.1.3.40027.10.Q,CPI.1.4.40027.10.Q,CPI.1.5.40027.10.Q,CPI.1.6.40027.10.Q,CPI.1.7.40027.10.Q,CPI.1.8.40027.10.Q,CPI.1.50.40027.10.Q,CPI.1.50.40027.20.Q
1980/07/01,31.8,37.3,37.6,35.6,33.1,42.6,36.5,33.1,34.7,34.8
1980/10/01,33.4,37.1,38.2,36.9,34.2,42.2,36.6,34.9,35.6,35.7
1981/01/01,33.4,40.0,40.1,38.9,36.8,43.4,38.5,35.1,37.1,37.2
1981/04/01,35.5,42.2,42.0,39.7,37.6,45.7,39.9,36.9,39.0,38.7
1981/07/01,35.4,42.1,41.8,40.3,38.1,45.7,41.7,37.0,39.0,39.1
1981/10/01,35.3,42.1,42.0,40.3,38.3,45.6,42.0,37.0,39.0,39.1
1982/01/01,35.3,43.0,43.1,41.0,38.3,46.2,43.5,37.0,39.5,39.6
1982/04/01,34.9,45.1,43.2,43.6,38.3,46.1,43.8,37.3,40.2,40.0
1982/07/01,36.0,45.1,43.4,43.7,39.4,48.4,48.1,38.4,40.8,40.8
1982/10/01,38.0,46.6,43.3,44.6,39.3,47.8,47.3,40.6,42.1,42.3
1983/01/01,39.2,46.5,46.3,46.1,39.4,48.1,47.1,41.9,43.0,43.0
1983/04/01,39.0,49.6,46.3,46.5,39.4,47.9,47.0,41.9,43.9,43.7
1983/07/01,39.0,50.1,48.0,47.0,40.7,51.2,49.5,41.9,44.5,44.5
1983/10/01,37.1,49.4,45.9,46.8,40.5,51.1,49.5,40.1,43.2,43.4
1984/01/01,37.5,47.9,46.5,46.4,40.6,48.7,49.8,41.5,43.0,43.0
1984/04/01,37.5,47.0,48.6,46.7,40.6,50.5,50.0,41.5,43.0,42.9
1984/07/01,36.6,46.9,49.4,45.4,41.3,52.4,50.0,41.5,42.7,42.6
1984/10/01,37.0,46.9,48.6,45.9,41.3,51.9,50.4,42.0,42.8,43.0
1985/01/01,38.6,47.2,49.4,45.5,40.7,51.9,50.1,44.0,43.6,43.6
1985/04/01,38.2,47.7,50.2,46.8,40.4,51.9,50.9,44.1,43.7,43.6
1985/07/01,40.0,49.2,51.8,48.0,42.2,53.0,51.7,45.1,45.3,45.2
1985/10/01,40.1,49.1,51.7,50.0,42.2,53.3,51.5,44.8,45.5,45.7
1986/01/01,40.1,49.6,53.8,49.5,42.2,53.1,51.7,44.3,45.8,45.8
1986/04/01,38.0,49.8,53.8,50.9,42.2,54.6,52.1,45.1,45.3,45.3
1986/07/01,36.6,49.2,54.1,52.4,43.9,55.3,53.9,45.1,44.9,44.7
1986/10/01,38.0,46.4,54.4,52.8,44.2,53.7,54.1,44.9,44.7,44.9
1987/01/01,39.0,47.6,54.3,52.8,44.5,53.1,54.5,44.1,45.3,45.3
1987/04/01,39.8,47.3,54.0,52.7,44.2,54.0,54.4,42.1,45.4,45.4
1987/07/01,40.7,47.9,53.9,49.3,43.9,55.4,54.5,40.9,45.6,45.4
1987/10/01,40.2,48.5,54.1,49.0,44.1,55.0,54.6,41.6,45.6,45.7
1988/01/01,42.0,48.5,56.2,48.0,44.2,56.9,55.0,42.9,46.5,46.6
1988/04/01,44.9,50.5,56.2,47.8,45.8,57.1,54.8,46.1,48.3,48.3
1988/07/01,48.7,53.1,56.7,52.2,48.1,57.6,54.7,50.3,51.2,51.0
1988/10/01,48.8,53.2,58.3,53.5,48.8,58.5,58.0,50.3,51.7,51.8
1989/01/01,49.5,52.7,60.0,54.5,48.9,59.8,58.5,50.4,52.2,52.4
1989/04/01,50.0,53.8,59.9,57.7,51.0,60.7,57.7,50.5,53.1,53.1
1989/07/01,43.4,54.3,60.2,58.8,50.9,62.5,59.6,44.1,50.8,50.6
1989/10/01,42.8,53.7,60.3,58.5,51.5,63.4,60.1,42.9,50.5,50.5
1990/01/01,41.6,51.9,60.3,58.5,51.6,65.0,60.1,42.7,49.5,49.8
1990/04/01,41.7,52.2,60.3,58.8,52.0,64.4,60.1,42.7,49.7,49.6
1990/07/01,42.2,54.1,60.6,59.2,51.7,64.3,58.3,42.5,50.4,50.2
1990/10/01,41.9,53.4,60.3,58.8,53.8,64.5,60.9,42.3,50.2,50.2
1991/01/01,41.6,52.5,60.7,58.0,52.0,64.4,60.7,41.6,49.7,50.0
1991/04/01,42.4,52.8,61.1,57.7,53.3,67.1,60.3,41.6,50.2,50.1
1991/07/01,42.1,50.6,60.2,56.1,52.3,64.4,58.8,41.2,49.1,48.9
1991/10/01,41.7,51.4,58.5,49.7,52.2,64.4,56.1,40.9,48.4,48.4
1992/01/01,41.4,50.7,58.8,50.0,53.3,64.4,56.2,42.6,48.3,48.6
1992/04/01,42.8,51.6,61.5,51.3,52.7,64.6,56.5,44.2,49.5,49.4
1992/07/01,44.6,53.5,61.7,51.7,52.7,63.4,56.9,45.8,50.8,50.6
1992/10/01,47.4,55.8,63.0,50.7,51.9,64.4,56.4,46.8,52.5,52.5
1993/01/01,47.0,54.2,62.6,49.2,52.4,67.1,56.6,47.1,51.9,52.2
1993/04/01,46.2,54.1,62.4,48.3,52.7,67.4,56.3,47.7,51.5,51.5
1993/07/01,48.4,53.7,65.5,47.8,53.5,67.6,56.1,48.1,52.7,52.4
1993/10/01,47.5,55.5,61.1,47.4,53.6,68.1,56.1,47.6,52.3,52.3
1994/01/01,47.4,57.1,60.2,46.4,53.7,67.4,53.3,48.0,52.5,52.8
1994/04/01,45.9,57.0,63.6,45.5,53.3,69.6,57.5,47.8,52.2,52.1
1994/07/01,47.0,56.3,63.7,44.8,51.4,70.3,57.0,47.9,52.2,51.9
1994/10/01,46.6,55.9,62.6,45.8,51.3,70.9,57.8,48.8,51.9,52.0
1995/01/01,49.4,55.1,68.5,48.3,50.9,71.1,58.7,51.6,53.7,54.0
1995/04/01,53.2,55.9,69.6,49.4,55.0,71.0,58.5,58.5,56.2,56.1
1995/07/01,58.0,66.7,81.0,57.6,54.9,71.5,64.2,63.0,63.1,62.7
1995/10/01,60.0,67.1,81.9,61.6,57.9,71.7,64.2,65.2,64.7,64.8
1996/01/01,60.8,68.0,81.7,61.9,59.2,72.7,63.7,64.5,65.4,65.9
1996/04/01,64.3,70.0,81.2,64.2,62.2,74.5,66.6,68.1,67.9,67.7
1996/07/01,67.3,71.8,86.5,64.8,62.6,78.6,66.5,70.6,70.3,69.8
1996/10/01,65.5,75.6,82.2,65.2,65.3,77.9,69.8,70.4,70.5,70.7
1997/01/01,66.1,75.1,82.7,65.0,64.0,77.9,69.7,68.7,70.5,71.1
1997/04/01,67.0,78.6,84.8,65.7,66.4,77.6,69.2,67.1,72.3,72.1
1997/07/01,67.1,79.0,82.6,65.0,67.0,77.6,69.6,68.5,72.2,71.6
1997/10/01,67.6,81.8,84.3,63.7,66.3,77.3,69.1,68.8,73.2,73.4
1998/01/01,68.9,78.3,76.2,63.9,65.6,75.7,69.7,69.6,71.7,72.4
1998/04/01,67.4,79.1,81.3,65.0,65.7,77.8,69.5,68.0,72.0,71.7
1998/07/01,68.2,81.3,80.9,65.4,66.9,76.5,69.4,68.5,73.0,72.3
1998/10/01,67.2,79.5,77.5,66.3,64.6,78.9,68.3,68.7,71.6,71.9
1999/01/01,68.7,81.7,79.4,65.0,65.2,79.2,67.6,67.7,72.9,73.6
